question_number,pipeline,correct,quote,source,paper_reference,fuzz_score,source_text_for_judge,faithfulness_score,faithfulness_reasoning
11.0,BM25 RAG,True,"These passages often exhibit low semantic similarity due to diversity or deduplication during re-ranking, leading to block-diagonal attention patterns that differ from those in standard LLM generation tasks.",filename: 2509.01092v2.pdf page 0,"These passages often exhibit low semantic similarity due to diversity or deduplication during re-ranking, leading to
block-diagonal attention patterns that differ from those in standard LLM generation tasks. Based
on this observation, we argue that most computations over the RAG context during decoding are
unnecessary and can be eliminated with minimal impact on performance.",100.0,"require specialized consideration. In RAG, much of the LLM context consists of concatenated
passages from retrieval, with only a small subset directly relevant to the query. These passages
often exhibit low semantic similarity due to diversity or deduplication during re-ranking, leading to
block-diagonal attention patterns that differ from those in standard LLM generation tasks. Based
on this observation, we argue that most computations over the RAG context during decoding are
unnecessary and can be eliminated with minimal impact on performance. To this end, we propose
REFRAG, an efficient decoding framework that compresses, senses, and expands to improve latency
in RAG applications. By exploiting this attention sparsity structure, we demonstrate a30.85× the
time-to-first-token acceleration (3.75× improvement to previous work) without loss in perplexity. In
addition, our optimization framework for large context enablesREFRAGto extend the context size",1.0,"The quote is an exact, verbatim sentence extracted directly from the provided source text."
12.0,BM25 RAG,True,"It reduces attention computation complexity, which now scales quadratically with the number of chunks rather than the number of tokens in the context.","2509.01092v2.pdf, Page: 1","This approach offers three main advantages: 1) It shortens the decoder’s input length, improving token allocation efficiency;
2) It enables reuse of pre-computed chunk embeddings from retrieval, eliminating redundant computation; and 3) It reduces
attention computation complexity, which now scales quadratically with the number of chunks rather than the number of tokens
in the context.",100.0,"in RAG.REFRAGsignificantly reduces latency, TTFT, and memory usage during decoding, allwithout
requiring modificationsto the LLM architecture or introducing new decoder parameters.
REFRAGmakes several novel modifications to the decoding process: Instead of using tokens from retrieved
passages as input,REFRAGleverages pre-computed, compressed chunk embeddings as approximate represen-
tations, feeding these embeddings directly into the decoder. This approach offers three main advantages: 1) It
shortens the decoder’s input length, improving token allocation efficiency; 2) It enables reuse of pre-computed
chunk embeddings from retrieval, eliminating redundant computation; and 3) It reduces attention computation
complexity, which now scales quadratically with the number of chunks rather than the number of tokens in
the context. Unlike prior methods (Yen et al., 2024),REFRAGsupports compression of token chunks at",1.0,"The quote is an exact, verbatim sentence extracted directly from the source text. It perfectly matches the third advantage listed in the source."
13.0,BM25 RAG,True,"Theoretical analysis (section A) shows that for short context lengths, our method achieves up to k× acceleration in TTFT and throughput. For longer context length, acceleration reaches up tok2× for both metrics.","2509.01092v2.pdf, Page: 2","Theoretical analysis (appendix A) shows that for short context lengths, our method achieves up to k×
acceleration in TTFT and throughput. For longer context length, acceleration reaches up to k2× for
both metrics.",96.35854341736696,"token; TTIT, the time to generate each subsequent token; and Throughput, the number of tokens generated
per unit time. Theoretical analysis (section A) shows that for short context lengths, our method achieves up to
k× acceleration in TTFT and throughput. For longer context length, acceleration reaches up tok2× for both
metrics. Empirically, as shown in figure 2, with a context length of16384(mid-to-long context),REFRAG
with k = 16achieves16 .53× TTFT acceleration with cache and8.59× without cache1, both surpassing CEPE
(2.01× and1 .04×, respectively), while achieving 9.3% performance (measured by log-perplexity) compared
to CEPE (table 1). We achieve up to6.78× throughput acceleration compared to LLaMA, significantly
outperforming CEPE. Withk = 32, TTFT acceleration reaches32.99× compared to LLaMA (3.75× compared
to CEPE) while maintaining similar performance to CEPE (see figure 8 and table 2). More detailed discussion",1.0,"The quote is an exact, verbatim extraction from the source text. It matches the source text perfectly without any alterations or omissions."
14.0,BM25 RAG,True,"A RL policy, guided by next-paragraph prediction perplexity as a negative reward, determines which chunks to retain in their original form... The policy network leverages chunk embeddings and masking to optimize sequential chunk expansion, thereby preserving the decoder’s autoregressive property...",filename: 2509.01092v2.pdf page 3,"Selective compression REFRAG introduces selective token compression, expanding important context chunks
uncompressed to improve answer prediction. A RL policy, guided by next-paragraph prediction perplexity as a
negative reward, determines which chunks to retain in their original form. The policy network leverages chunk
embeddings and masking to optimize sequential chunk expansion, thereby preserving the decoder’s autoregressive property.",98.65319865319864,"1 . Subsequently, the model reconstructs
x1:2k frome cnk
1 , ecnk
2 , and so forth. To continuously adjust task difficulty, we vary the data mixture over
time, starting with examples dominated by easier tasks (e.g., single chunk embedding) and gradually shifting
towards those dominated by more difficult tasks (i.e.,L chunk embeddings). A visualization of the data
mixture during curriculum learning is provided in figure 6, and the detailed scheduling is presented in table 8.
Selective compressionREFRAGintroduces selective token compression, expanding important context chunks
uncompressed to improve answer prediction. A RL policy, guided by next-paragraph prediction perplexity as
a negative reward, determines which chunks to retain in their original form. The encoder and decoder are
fine-tuned to handle mixed inputs of compressed and uncompressed chunks. The policy network leverages
chunk embeddings and masking to optimize sequential chunk expansion, thereby preserving the decoder’s",0.95,"The first sentence of the quote ('A RL policy, guided by next-paragraph prediction perplexity as a negative reward, determines which chunks to retain in their original form') is an exact, verbatim extraction from the source text. The ellipsis correctly indicates an omission of a sentence. The subsequent text ('The policy network leverages chunk embeddings and masking to optimize sequential chunk expansion, thereby preserving the decoder’s') is also verbatim from the source. However, the quote adds the phrase 'autoregressive property' at the very end, which is not present in the provided source text. Despite this small addition, the vast majority of the quote is directly from the source."
15.0,BM25 RAG,True,"In this task, we freeze the decoder model and only train the encoder and projection layer.",filename: 2509.01092v2.pdf page 3,"Reconstruction task. We input the first s tokens x1:s to the encoder and learn to reconstruct tokens x1:s in the decoder. In this task,
we freeze the decoder model and only train the encoder and projection layer. … The reconstruction task was specifically chosen to
encourage the model to rely on context memory rather than its parametric memory during training.",100.0,"next-paragraph prediction, thereby equipping it for downstream applications. The objective is to align any
encoder–decoder combination so that the generations produced withcompressed contextclosely resemble
those generated by the original decoder with access to the full context.
3.1 Continual Pre-training Recipe
To ensure the success of the CPT phase, we propose a training recipe that incorporates a reconstruction task
and a curriculum learning approach. Ablation studies in section 4 demonstrate thatthis recipeiscrucialfor
achieving strong CPT performance.
Reconstruction task.We input the firsts tokens x1:s to the encoder and learn to reconstruct tokensx1:s in
the decoder. In this task, wefreeze the decoder model and only train the encoder and projection layer. The
main objectives are to align the encoder and projection layer so that: 1) encoder can compressk tokens with
minimal information loss, and 2) projection layer can effectively map the encoder’s chunk embeddings into the",0.95,The quote is nearly an exact sentence from the source text. The only difference is a minor spacing issue: the source text has 'wefreeze' while the quote has 'we freeze'. This is a near-verbatim extraction.
16.0,BM25 RAG,True,"To continuously adjust task difficulty, we vary the data mixture over time, starting with examples dominated by easier tasks (e.g., single chunk embedding) and gradually shifting towards those dominated by more difficult tasks (i.e.,L chunk embeddings).","2509.01092v2.pdf, Page: 3","As the chunk length k increases, the number of possible token combinations expands exponentially, specifically at a rate of V k, where V is the
vocabulary size. … For the reconstruction task, training begins with reconstructing a single chunk … Subsequently, the model reconstructs x1:2k …
To continuously adjust task difficulty, we vary the data mixture over time, starting with examples dominated by easier tasks and gradually shifting
towards those dominated by more difficult tasks.",90.64748201438849,"1 . Subsequently, the model reconstructs
x1:2k frome cnk
1 , ecnk
2 , and so forth. To continuously adjust task difficulty, we vary the data mixture over
time, starting with examples dominated by easier tasks (e.g., single chunk embedding) and gradually shifting
towards those dominated by more difficult tasks (i.e.,L chunk embeddings). A visualization of the data
mixture during curriculum learning is provided in figure 6, and the detailed scheduling is presented in table 8.
Selective compressionREFRAGintroduces selective token compression, expanding important context chunks
uncompressed to improve answer prediction. A RL policy, guided by next-paragraph prediction perplexity as
a negative reward, determines which chunks to retain in their original form. The encoder and decoder are
fine-tuned to handle mixed inputs of compressed and uncompressed chunks. The policy network leverages
chunk embeddings and masking to optimize sequential chunk expansion, thereby preserving the decoder’s",1.0,"The quote is an exact, verbatim sentence extracted from the source text. The line break in the source text ('over\ntime') does not alter the content of the sentence."
17.0,BM25 RAG,True,Table 13 demonstrates that REFRAG16 with RL-based selective compression consistently outperforms REFRAG8 across different datasets and context lengths.,"Source Reference: 2509.01092v2.pdf, Page: 5","Table 13 demonstrates that REFRAG16 with RL-based selective compression consistently outperforms REFRAG8 across different datasets and context lengths.
This finding is particularly surprising, as REFRAG16 achieves a compression rate of 8 without recomputing chunk embeddings, yet still surpasses the
performance of REFRAG8.",100.0,"REFRAGRL uses RL-based selective compression.LLaMAK: LLaMA-2-7B evaluated onxs+1:s+o with the
truncated sequencex s−K:T as input to match the token count ofREFRAG.
Table 1 reports performance fors = 2048and o∈ {512, 1024, 2048}, where, e.g., P512 denoteso = 512.
Bolded results compare baselines, excludingLLaMA-Full Contextand LLaMA-32K, which use full
context without compression and are expected to perform best. Notably,REFRAG8 and REFRAG16
consistently outperform other baselines across nearly all settings, while also achieving lower latency than
CEPE (figure 2). For reference,LLaMA256 uses only the last 256 tokens, matching the number of chunk
embeddings inREFRAG8 (s/k = 256), yetREFRAG8 consistently surpassesLLaMA256, demonstrating
the effectiveness of compressed chunk embeddings.
Table 2 evaluateso = 2048with extended context lengthss∈ {4096, 8192, 16384}. Although our model is
trained ons + o = 6144, bothREFRAG8 and REFRAG16 maintain superior performance at longer contexts.",0.0,"The quote is not supported by the source text. Several key elements are incorrect or hallucinated:
1.  **'Table 13'**: The source text mentions 'Table 1' and 'Table 2', but 'Table 13' is not present.
2.  **'REFRAG16 ... consistently outperforms REFRAG8'**: The source text states, 'Notably, REFRAG8 and REFRAG16 consistently outperform other baselines across nearly all settings'. It groups REFRAG8 and REFRAG16 together as both performing well against *other baselines*, but it does not state that REFRAG16 consistently outperforms REFRAG8. In fact, it later mentions 'both REFRAG8 and REFRAG16 maintain superior performance at longer contexts', implying similar strong performance.
3.  **'across different datasets and context lengths'**: While the source discusses performance across different settings and longer contexts for REFRAG8 and REFRAG16 generally, this specific phrase is used to support the unsupported claim of REFRAG16 outperforming REFRAG8."
18.0,BM25 RAG,True,"However, CEPE is limited to prefix context applications, as it disrupts the causal structure of the context, making it unsuitable for tasks such as multi-turn RAG or summarization. Additionally, CEPE does not utilize token compression, resulting in similar or even increased decoding latency.","Source Reference: 2509.01092v2.pdf, Page: 9","CEPE … is limited to prefix context applications, as it disrupts the causal structure of the context, making it unsuitable for tasks such as multi-turn RAG
or summarization. Additionally, CEPE does not utilize token compression, resulting in similar or even increased decoding latency.",99.62406015037594,"attention, reducing attention complexity from quadratic to linear; however, this method does not address
memory requirements. It is complementary to our approach and can be integrated to further improve latency.
StreamingLLM(Xiao et al., 2024) proposed attention sinks to decrease KV cache memory for long-context
generation, though this does not reduce latency during the pre-filling stage. CEPE (Yen et al., 2024) employs
cross-attention to token embeddings from context tokens, reducing both KV cache memory and attention
computations. However, CEPE is limited to prefix context applications, as it disrupts the causal structure of
the context, making it unsuitable for tasks such as multi-turn RAG or summarization. Additionally, CEPE
does not utilize token compression, resulting in similar or even increased decoding latency. Concurrently with
our work, Dai et al. (2025) proposed PCC, an embedding-based memory mechanism that summarizes past",1.0,"The quote is an exact, verbatim extraction from the provided source text. Every word and punctuation mark matches perfectly."
19.0,BM25 RAG,True,"At equal latency (8 passages for REFRAG vs. 1 for LLaMA), REFRAG achieves a 1.93% average gain over 16 RAG tasks.","2509.01092v2.pdf, Page: 7","With a weak retriever setting, at 10 passages, REFRAG improves performance by 0.71% and accelerates TTFT by 5.26× compared to LLaMA. At equal latency
(8 passages for REFRAG vs. 1 for LLaMA), REFRAG achieves a 1.93% average gain over 16 RAG tasks.",100.0,"that most tasks still benefit from more passages in our model. Figure 4 shows the performance averaged
over all 16 tasks in table 3 for both strong retriever and weak retriever setting. The result demonstrates that
under the same number of retrieved passages, we are able to match the performance of LLaMA in the strong
retriever setting and even outperform LLaMA under the weak retriever setting. This is because our model
enables larger context and hence enables extract more useful information when the retrieved passages are less
relevant. Under equivalent latency constraints,REFRAGconsistently outperform LLaMA on both settings
as the saved context can be reinvested to include additional information within the same latency budget.
Figure 4 compares the performance ofREFRAGand the LLaMA model under two conditions: 1) an equal
number of retrieved passages, and 2) equal latency, for both strong and weak retriever settings.With a strong",0.0,"The quote contains specific numerical details ('8 passages for REFRAG vs. 1 for LLaMA', '1.93% average gain') that are not present anywhere in the provided Source Text. While the Source Text discusses REFRAG outperforming LLaMA under equal latency and mentions '16 tasks', it does not provide the specific passage counts or the percentage gain stated in the quote. Therefore, the quote is not supported by the source text and appears to be hallucinated."
20.0,BM25 RAG,True,"The original Llama-2-7B supports only a 4k context window, whereas our approach enables extrapolation via chunk embeddings, extending context and supporting broader applications.",filename: 2509.01092v2.pdf page 4,"By exploiting this attention sparsity structure, we demonstrate a 30.85× the time-to-first-token acceleration … In addition, our optimization framework for
large context enables REFRAG to extend the context size of LLMs by 16×. We provide rigorous validation of REFRAG across diverse long-context tasks.",46.29213483146067,"Table 2 evaluateso = 2048with extended context lengthss∈ {4096, 8192, 16384}. Although our model is
trained ons + o = 6144, bothREFRAG8 and REFRAG16 maintain superior performance at longer contexts.
The original Llama-2-7B supports only a4k context window, whereas our approach enables extrapolation via
chunk embeddings, extending context and supporting broader applications.
With a compression rate of16, we achieve a9.3%average log-perplexity improvement over CEPE across
four datasets2. Meanwhile, our method is16.53× faster than LLaMA in TTFT and2.01× faster than CEPE
(section B.4). At a compression rate of32, our log-perplexity matches CEPE, while TTFT acceleration
increases to30.85×over LLaMA and3.75×over CEPE.
Figure 3 presents the performance of various methods for selective compression. We expandp fraction of the
chunks in the original token space using the RL policy. The effective compression ratek
1−p+kp decreases when",1.0,"The quote is an exact sentence from the source text. The only difference is a space between 'a' and '4k' in the quote, which is a minor formatting detail and does not alter the content or meaning."
