question_number,pipeline,correct,predicted,ground_truth,quote,source,latency,run_timestamp
63.0,BM25 RAG,True,C,C,"The effective compression rate k
1−p+kp decreases when",filename: 2509.01092v2.pdf page 4,11.790778636932371,2025-12-02 17:24:04
,,False,,,,,,2025-12-02 17:24:04
65.0,BM25 RAG,True,C,C,The results indicate that curriculum learning is essential for the success of the reconstruction task.,"2509.01092v2.pdf, Page: 5",28.24225878715515,2025-12-02 17:24:04
66.0,BM25 RAG,True,C,C,"However, CEPE is limited to prefix context applications, as it disrupts the causal structure of the context, making it unsuitable for tasks such as multi-turn RAG or summarization.","2509.01092v2.pdf, Page: 9",12.378402709960938,2025-12-02 17:24:04
67.0,BM25 RAG,True,C,C,"At equal latency (8 passages for REFRAG vs. 1 for LLaMA), REFRAG attains a 1.22% average improvement across 16 RAG tasks.","2509.01092v2.pdf, Page: 7",26.41956615447998,2025-12-02 17:24:04
68.0,BM25 RAG,False,B,C,"REFRAG: Our approach is illustrated in figure 1. We use RoBERTa-large (Liu et al., 2019) as the encoder, feeding x1:s tokens and evaluating the perplexity on the output tokensxs+1:s+o.","Source Reference: 2509.01092v2.pdf, Page: 17",20.88770031929016,2025-12-02 17:24:04
69.0,BM25 RAG,False,ERROR,C,No quote provided,,48.84510326385498,2025-12-02 17:24:04
70.0,BM25 RAG,True,C,C,"For reference, LLaMA256 uses only the last 256 tokens, matching the number of chunk embeddings in REFRAG8 (s/k = 256), yet REFRAG8 consistently surpasses LLaMA256, demonstrating the effectiveness of compressed chunk embeddings.",filename: 2509.01092v2.pdf page 4,15.009690761566162,2025-12-02 17:24:04
1.0,Dense RAG,True,C,C,"It reduces attention computation complexity, which now scales quadratically with the number of chunks rather than the number of tokens in the context.",filename: 2509.01092v2.pdf page 1,12.016928672790527,2025-12-02 17:48:14
2.0,Dense RAG,False,A,C,Reconstruction task is essential for the model to learn the continual pre-training task.,"2509.01092v2.pdf, Page: 5",21.81468796730041,2025-12-02 17:48:14
3.0,Dense RAG,False,C,B,"Both higher than CEPE (i.e., 2.01× and 1.04× acceleration respectively) while having better model performance (see table 1).","2509.01092v2.pdf, Page: 15",48.42552757263184,2025-12-02 17:48:14
4.0,Dense RAG,True,D,D,This is because our model enables larger context and hence enables extract more useful information when the retrieved passages are less relevant.,"2509.01092v2.pdf, Page: 7",21.61267924308777,2025-12-02 17:48:14
5.0,Dense RAG,True,C,C,"It reduces attention computation complexity, which now scales quadratically with the number of chunks rather than the number of tokens in the context.","2509.01092v2.pdf, Page: 1",27.957314491271973,2025-12-02 17:48:14
,,False,,,,,,2025-12-02 17:48:14
7.0,Dense RAG,True,C,C,"Additionally, an RL policy is trained to do selective compression to further improve the performance which we will defer the discussion to section 2.","2509.01092v2.pdf, Page: 2",15.666388034820557,2025-12-02 17:48:14
8.0,Dense RAG,True,B,B,"With longer context lengths, we are able to achieve up to k²× acceleration in both TTFT and throughput.","2509.01092v2.pdf, Page: 15",15.973538637161257,2025-12-02 17:48:14
9.0,Dense RAG,True,C,C,"Under equivalent latency constraints,REFRAGconsistently outperform LLaMA on both settings as the saved context can be reinvested to include additional information within the same latency budget.","2509.01092v2.pdf, Page: 7",17.509703397750854,2025-12-02 17:48:14
10.0,Dense RAG,True,C,C,"In contrast, a compression rate of 64 appears to be overly aggressive, resulting in diminished performance.",filename: 2509.01092v2.pdf page 6,11.98017120361328,2025-12-02 17:48:14
11.0,Dense RAG,True,C,C,"These passages often exhibit low semantic similarity due to diversity or deduplication during re-ranking, leading to block-diagonal attention patterns that differ from those in standard LLM generation tasks.","2509.01092v2.pdf, Page: 0",12.594558715820312,2025-12-02 17:48:14
12.0,Dense RAG,False,A,C,"attention, reducing attention complexity from quadratic to linear; however, this method does not address memory requirements.",filename: 2509.01092v2.pdf page 9,21.19603943824768,2025-12-02 17:48:14
13.0,Dense RAG,True,C,C,"Theoretical analysis (section A) shows that for short context lengths, our method achieves up to k× acceleration in TTFT and throughput. For longer context length, acceleration reaches up to k²× for both metrics.",filename: 2509.01092v2.pdf page 2,14.1303071975708,2025-12-02 17:48:14
14.0,Dense RAG,True,C,C,"chunk embeddings and masking to optimize sequential chunk expansion, thereby preserving the decoder’s autoregressive property and enabling flexible placement of compression.","2509.01092v2.pdf, Page: 3",15.258558511734009,2025-12-02 17:48:14
15.0,Dense RAG,True,C,C,"In this task, we freeze the decoder model and only train the encoder and projection layer. [...] The reconstruction task was specifically chosen to encourage the model to rely on context memory rather than its parametric memory during training.",filename: 2509.01092v2.pdf page 3,20.68261480331421,2025-12-02 17:48:14
16.0,Dense RAG,True,C,C,"To continuously adjust task difficulty, we vary the data mixture over time, starting with examples dominated by easier tasks (e.g., single chunk embedding) and gradually shifting towards those dominated by more difficult tasks (i.e.,L chunk embeddings).",filename: 2509.01092v2.pdf page 3,21.502132177352905,2025-12-02 17:48:14
17.0,Dense RAG,True,C,C,Table 13 demonstrates that REFRAG16 with RL-based selective compression consistently outperforms REFRAG8 across different datasets and context lengths.,filename: 2509.01092v2.pdf page 5,19.97042441368103,2025-12-02 17:48:14
18.0,Dense RAG,True,C,C,"our approach enables extrapolation via chunk embeddings, extending context and supporting broader applications.","2509.01092v2.pdf, Page: 4",65.4276876449585,2025-12-02 17:48:14
19.0,Dense RAG,True,C,C,"At equal latency (8 passages for REFRAG vs. 1 for LLaMA), REFRAG achieves a 1.93% average gain over 16 RAG tasks.","2509.01092v2.pdf, Page: 7",13.826541900634766,2025-12-02 17:48:14
20.0,Dense RAG,True,C,C,The input context is chunked and processed by the light-weight encoder to produce chunk embeddings... These chunk embeddings along with the token embeddings of the question input are fed to the decoder.,"2509.01092v2.pdf, Page: 2",25.800743579864506,2025-12-02 17:48:14
21.0,Dense RAG,True,C,C,"It reduces attention computation complexity, which now scales quadratically with the number of chunks rather than the number of tokens in the context.",filename: 2509.01092v2.pdf page 1,10.977477073669434,2025-12-02 17:48:14
22.0,Dense RAG,True,C,C,"For longer context length, acceleration reaches up tok2× for both metrics.","2509.01092v2.pdf, Page: 2",12.983641386032104,2025-12-02 17:48:14
23.0,Dense RAG,True,C,C,These results further highlight the effectiveness of the RL-trained policy and underscore the practicality of dynamically adjusting the compression rate without compromising performance.,"2509.01092v2.pdf, Page: 6",22.42428040504456,2025-12-02 17:48:14
