question_number,pipeline,correct,predicted,ground_truth,quote,source,latency,run_timestamp
28,Baseline (Zero-shot),False,ERROR,C,No quote provided,,45.46302080154419,2025-11-30 12:50:20
29,Baseline (Zero-shot),True,C,C,No quote provided,,3.847860097885132,2025-11-30 12:50:20
30,Baseline (Zero-shot),False,A,C,No quote provided,,5.674920797348023,2025-11-30 12:50:20
31,Baseline (Zero-shot),False,ERROR,C,No quote provided,,13.53034782409668,2025-11-30 12:50:20
32,Baseline (Zero-shot),False,A,C,No quote provided,,8.370743989944458,2025-11-30 12:50:20
33,Baseline (Zero-shot),False,A,C,No quote provided,,3.59232497215271,2025-11-30 12:50:20
34,Baseline (Zero-shot),False,A,C,No quote provided,,7.3482489585876465,2025-11-30 12:50:20
35,Baseline (Zero-shot),True,C,C,No quote provided,,5.553138732910156,2025-11-30 12:50:20
36,Baseline (Zero-shot),False,ERROR,C,No quote provided,,11.191936492919922,2025-11-30 12:50:20
37,Baseline (Zero-shot),False,A,C,No quote provided,,6.1594860553741455,2025-11-30 12:50:20
38,Baseline (Zero-shot),False,ERROR,C,No quote provided,,21.330602169036865,2025-11-30 12:50:20
39,Baseline (Zero-shot),False,ERROR,C,No quote provided,,24.514174938201904,2025-11-30 12:50:20
40,Baseline (Zero-shot),False,B,C,No quote provided,,12.370098114013672,2025-11-30 12:50:20
41,Baseline (Zero-shot),True,C,C,No quote provided,,5.834674596786499,2025-11-30 12:50:20
42,Baseline (Zero-shot),True,B,B,No quote provided,,3.6860272884368896,2025-11-30 12:50:20
43,Baseline (Zero-shot),True,C,C,No quote provided,,5.837937593460083,2025-11-30 12:50:20
44,Baseline (Zero-shot),False,A,C,No quote provided,,6.868469953536987,2025-11-30 12:50:20
45,Baseline (Zero-shot),False,ERROR,C,No quote provided,,8.18143105506897,2025-11-30 12:50:20
46,Baseline (Zero-shot),False,ERROR,C,No quote provided,,10.904585361480711,2025-11-30 12:50:20
47,Baseline (Zero-shot),False,A,B,No quote provided,,5.451704025268555,2025-11-30 12:50:20
48,Baseline (Zero-shot),True,B,B,No quote provided,,4.324346542358398,2025-11-30 12:50:20
49,Baseline (Zero-shot),False,A,C,No quote provided,,6.936587333679199,2025-11-30 12:50:20
50,Baseline (Zero-shot),False,A,C,No quote provided,,10.164840936660768,2025-11-30 12:50:20
1,BM25 RAG,True,C,C,"By leveraging the inherent sparsity and block-diagonal attention patterns present in RAG contexts,REFRAG compresses, senses, and expands context representations to significantly reduce both memory usage and inference latency, particularly the TTFT.",2509.01092v2.pdf page 10,9.592628479003906,2025-11-30 12:55:12
2,BM25 RAG,False,ERROR,C,No quote provided,,8.204305171966553,2025-11-30 12:55:12
3,BM25 RAG,True,B,B,"However, CEPE is limited to prefix context applications, as it disrupts the causal structure of the context, making it unsuitable for tasks such as multi-turn RAG or summarization.",2509.01092v2.pdf page 9,6.451609373092651,2025-11-30 12:55:12
4,BM25 RAG,True,D,D,"Our model outperformsLLaMAFT on two out of three datasets in the 5-passage setting, and on all three datasets in the 10-passage setting. This improvement is attributable to the limited 4k-token context window of LLaMAFT, which necessitates truncating portions of the conversational history in longer contexts, resulting in the loss of crucial information required to answer subsequent questions. In contrast, our model, trained on the sameLLaMA model without extending its effective positional encoding, maintains robust performance","2509.01092v2.pdf, Page: 7",4.009339809417725,2025-11-30 12:55:12
5,BM25 RAG,True,C,C,"RAG contexts often contain sparse information, with many retrieved passages being uninformative and reused across multiple inferences.","2509.01092v2.pdf, Page: 1",9.812477350234984,2025-11-30 12:55:12
6,BM25 RAG,True,C,C,"Curriculum learning is essential for effective training in the reconstruction task.The reconstruction task, while intuitive, is particularly challenging when multiple chunks must be reconstructed.","2509.01092v2.pdf, Page: 4",4.914814233779907,2025-11-30 12:55:12
7,BM25 RAG,True,C,C,"This “compress anywhere” capability is further enhanced by a lightweight reinforcement learning (RL) policy that selectively determines when full chunk token input is necessary and when low-cost, approximate chunk embeddings suffice .","2509.01092v2.pdf, Page: 1",4.300518274307251,2025-11-30 12:55:12
8,BM25 RAG,True,B,B,"With longer context lengths, we are able to achieve up tok2× acceleration in both TTFT and throughput.","2509.01092v2.pdf, Page: 15",5.221461057662964,2025-11-30 12:55:12
9,BM25 RAG,True,C,C,"Under equivalent latency constraints,REFRAGconsistently outperform LLaMA on both settings as the saved context can be reinvested to include additional information within the same latency budget.","2509.01092v2.pdf, Page: 7",4.893500804901123,2025-11-30 12:55:12
10,BM25 RAG,True,C,C,"In contrast, a compression rate of64appears to be overly aggressive, resulting in diminished performance. These findings suggest a practical limit to the compression rate beyond which the model’s capability is significantly reduced.","2509.01092v2.pdf, Page: 6",2.323209285736084,2025-11-30 12:55:12
11,BM25 RAG,True,C,C,"These passages often exhibit low semantic similarity due to diversity or deduplication during re-ranking, leading to block-diagonal attention patterns that differ from those in standard LLM generation tasks. Based on this observation, we argue that most computations over the RAG context during decoding are unnecessary and can be eliminated with minimal impact on performance.","2509.01092v2.pdf, Page: 0",4.763180494308472,2025-11-30 12:55:12
12,BM25 RAG,True,C,C,"It reduces attention computation complexity, which now scales quadratically with the number of chunks rather than the number of tokens in the context.","2509.01092v2.pdf, Page: 1",3.6857481002807617,2025-11-30 12:55:12
13,BM25 RAG,True,C,C,"Theoretical analysis (section A) shows that for short context lengths, our method achieves up to k× acceleration in TTFT and throughput. For longer context length, acceleration reaches up tok2× for both metrics.","2509.01092v2.pdf, Page: 2",2.5174129009246826,2025-11-30 12:55:12
14,BM25 RAG,True,C,C,"A RL policy, guided by next-paragraph prediction perplexity as a negative reward, determines which chunks to retain in their original form. The policy network leverages chunk embeddings and masking to optimize sequential chunk expansion, thereby preserving the decoder’s autoregressive property and enabling flexible placement of compression.","2509.01092v2.pdf, page 3",3.1137495040893555,2025-11-30 12:55:12
15,BM25 RAG,True,C,C,"In this task, wefreeze the decoder model and only train the encoder and projection layer. The main objectives are to align the encoder and projection layer so that: 1) encoder can compressk tokens with minimal information loss","2509.01092v2.pdf, Page: 3",6.962249755859375,2025-11-30 12:55:12
16,BM25 RAG,True,C,C,"As the chunk lengthk increases, the number of possible token combinations expands exponentially, specifically at a rate ofV k, whereV is the vocabulary size. Effectively capturing this diversity within a fixed-length embedding presents a significant challenge.","2509.01092v2.pdf, Page: 3",16.2623929977417,2025-11-30 12:55:12
17,BM25 RAG,True,C,C,Table 13 demonstrates thatREFRAG16 with RL-based selective compression consistently outperformsREFRAG8 across different datasets and context lengths.,"2509.01092v2.pdf, Page: 5",8.926652193069458,2025-11-30 12:55:12
18,BM25 RAG,True,C,C,"However, CEPE is limited to prefix context applications, as it disrupts the causal structure of the context, making it unsuitable for tasks such as multi-turn RAG or summarization. Additionally, CEPE does not utilize token compression, resulting in similar or even increased decoding latency.","2509.01092v2.pdf, Page: 9",3.070995330810547,2025-11-30 12:55:12
19,BM25 RAG,True,C,C,"At equal latency (8 passages forREFRAGvs. 1 for LLaMA),REFRAGachieves a1.93%average gain over 16 RAG tasks.","2509.01092v2.pdf, Page: 7",4.179101228713989,2025-11-30 12:55:12
20,BM25 RAG,True,C,C,"The original Llama-2-7B supports only a4k context window, whereas our approach enables extrapolation via chunk embeddings, extending context and supporting broader applications. With a compression rate of16, we achieve a9.3%average log-perplexity improvement over CEPE across four datasets2.","2509.01092v2.pdf, Page: 4",3.063631772994995,2025-11-30 12:55:12
21,BM25 RAG,True,C,C,"It reduces attention computation complexity, which now scales quadratically with the number of chunks rather than the number of tokens in the context.","2509.01092v2.pdf, Page: 1",2.9976916313171387,2025-11-30 12:55:12
22,BM25 RAG,True,C,C,"With longer context lengths, we are able to achieve up tok2× acceleration in both TTFT and throughput.","2509.01092v2.pdf, Page: 15",2.0461771488189697,2025-11-30 12:55:12
23,BM25 RAG,True,C,C,"REFRAGsupports compression of token chunks at arbitrary positions (see figure 1) while preserving the autoregressive nature of the decoder, thereby supporting multi-turn and agentic applications. This “compress anywhere” capability is further enhanced by a lightweight reinforcement learning (RL) policy that selectively determines when full chunk token input is necessary and when low-cost, approximate chunk embeddings suffice .","2509.01092v2.pdf, Page: 1",3.296290636062622,2025-11-30 12:55:12
24,BM25 RAG,True,C,C,"The main objectives are to align the encoder and projection layer so that: 1) encoder can compressk tokens with minimal information loss, and 2) projection layer can effectively map the encoder’s chunk embeddings into the","2509.01092v2.pdf, Page: 3",4.0755720138549805,2025-11-30 12:55:12
25,BM25 RAG,True,C,C,"A RL policy, guided by next-paragraph prediction perplexity as a negative reward, determines which chunks to retain in their original form.","2509.01092v2.pdf, Page: 3",2.5576729774475098,2025-11-30 12:55:12
26,BM25 RAG,True,C,C,"Empirically, as shown in figure 2, with a context length of16384(mid-to-long context),REFRAG with k = 16achieves16 .53× TTFT acceleration with cache and8.59× without cache1, both surpassing CEPE (2.01× and1 .04×, respectively)...","2509.01092v2.pdf, page 2",4.3021299839019775,2025-11-30 12:55:12
27,BM25 RAG,True,C,C,"At equal latency (8 passages forREFRAGvs. 1 for LLaMA),REFRAGattains a1.22% average improvement across 16 RAG tasks.","2509.01092v2.pdf, Page: 7",2.969212532043457,2025-11-30 12:55:12
28,BM25 RAG,True,C,C,"For reference,LLaMA256 uses only the last 256 tokens, matching the number of chunk embeddings inREFRAG8 (s/k = 256), yetREFRAG8 consistently surpassesLLaMA256, demonstrating the effectiveness of compressed chunk embeddings.","2509.01092v2.pdf, Page: 4",1.7209630012512207,2025-11-30 12:55:12
29,BM25 RAG,True,C,C,"In contrast, a compression rate of64appears to be overly aggressive, resulting in diminished performance. These findings suggest a practical limit to the compression rate beyond which the model’s capability is significantly reduced.","2509.01092v2.pdf, Page: 6",2.640333414077759,2025-11-30 12:55:12
30,BM25 RAG,True,C,C,"The original Llama-2-7B supports only a4k context window, whereas our approach enables extrapolation via chunk embeddings, extending context and supporting broader applications.","2509.01092v2.pdf, Page: 4",4.438190221786499,2025-11-30 12:55:12
31,BM25 RAG,True,C,C,"It reduces attention computation complexity, which now scales quadratically with the number of chunks rather than the number of tokens in the context.","2509.01092v2.pdf, Page: 1",2.073391914367676,2025-11-30 12:55:12
32,BM25 RAG,True,C,C,"Table 6 shows that with short context length s we are able to achievek× acceleration in TTFT and up tok× acceleration in throughput. With longer context lengths, we are able to achieve up tok2× acceleration in both TTFT and throughput.","2509.01092v2.pdf, page 15",2.1555068492889404,2025-11-30 12:55:12
33,BM25 RAG,True,C,C,"Empirically, as shown in figure 2, with a context length of16384(mid-to-long context),REFRAG with k = 16achieves16 .53× TTFT acceleration with cache and8.59× without cache1, both surpassing CEPE (2.01× and1 .04×, respectively), while achieving 9.3% performance (measured by log-perplexity) compared to CEPE (table 1).","2509.01092v2.pdf, page 2",3.927137851715088,2025-11-30 12:55:12
34,BM25 RAG,False,ERROR,C,No quote provided,,20.339089393615723,2025-11-30 12:55:12
35,BM25 RAG,True,C,C,"For the reconstruction task, training begins with reconstructing a single chunk: the encoder receives one chunk embeddingc1 for x1:k and and the decoder reconstructs thek tokens using the projected chunk embeddingecnk 1 . Subsequently, the model reconstructs x1:2k frome cnk 1 , ecnk 2 , and so forth. To continuously adjust task difficulty, we vary the data mixture over","2509.01092v2.pdf, Page: 3",3.0832388401031494,2025-11-30 12:55:12
36,BM25 RAG,True,C,C,"A RL policy, guided by next-paragraph prediction perplexity as a negative reward, determines which chunks to retain in their original form. The policy network leverages chunk embeddings and masking to optimize sequential chunk expansion, thereby preserving the decoder’s","2509.01092v2.pdf, Page: 3",7.926824331283569,2025-11-30 12:55:12
37,BM25 RAG,True,C,C,"With a compression rate of16, we achieve a9.3%average log-perplexity improvement over CEPE across four datasets2.","2509.01092v2.pdf, Page: 4",1.387831449508667,2025-11-30 12:55:12
38,BM25 RAG,False,A,C,The provided context does not contain information about the scale and composition of the continual pre-training corpus.,Information not available in provided context.,19.47135281562805,2025-11-30 12:55:12
39,BM25 RAG,True,C,C,We use the DRAGON+ model Lin et al. (2023) as our retriever and use the implementation of Izacard et al. (2023a) to retrieve the K-nearest neighbors as the retrieved passages for each question. WefollowtheworkofLinetal.(2024)touseWikipediadumpsandCommonCrawl dumps to create a retrieval corpus with 400 million passages. Each passage contains less than 200 words.,"2509.01092v2.pdf, Page: 7",6.467377662658691,2025-11-30 12:55:12
40,BM25 RAG,True,C,C,"At equal latency (8 passages forREFRAGvs. 1 for LLaMA),REFRAGattains a1.22% average improvement across 16 RAG tasks.","2509.01092v2.pdf, Page: 7",2.589953660964966,2025-11-30 12:55:12
41,BM25 RAG,True,C,C,"Chevalier et al. (2023) proposed recursive compression for documents, using compressed embeddings for prediction, similar to our method.","2509.01092v2.pdf, Page: 9",7.794376373291016,2025-11-30 12:55:12
42,BM25 RAG,True,B,B,"The main objectives are to align the encoder and projection layer so that: 1) encoder can compressk tokens with minimal information loss, and 2) projection layer can effectively map the encoder’s chunk embeddings into the",2509.01092v2.pdf page 3,3.376251459121704,2025-11-30 12:55:12
43,BM25 RAG,False,ERROR,C,No quote provided,,13.847209215164185,2025-11-30 12:55:12
44,BM25 RAG,False,ERROR,C,No quote provided,,20.6063768863678,2025-11-30 12:55:12
45,BM25 RAG,True,C,C,Table 13 demonstrates thatREFRAG16 with RL-based selective compression consistently outperformsREFRAG8 across different datasets and context lengths.,"2509.01092v2.pdf, Page: 5",3.9975063800811768,2025-11-30 12:55:12
46,BM25 RAG,True,C,C,"By exploiting this attention sparsity structure, we demonstrate a30.85× the time-to-first-token acceleration (3.75× improvement to previous work) without loss in perplexity.","2509.01092v2.pdf, Page: 0",6.341782808303833,2025-11-30 12:55:12
47,BM25 RAG,True,B,B,"Moreover, the time-to-first-token (TTFT) latency increases quadratically, while the time-to-iterative-token (TTIT) latency grows linearly with prompt length (Liu et al., 2025).","2509.01092v2.pdf, Page: 0",1.653065204620361,2025-11-30 12:55:12
48,BM25 RAG,True,B,B,Ablation study result for curriculum learning.Table 11 shows the necessity of curriculum learning to the success of reconstruction task.,"2509.01092v2.pdf, Page: 21",5.299711465835571,2025-11-30 12:55:12
49,BM25 RAG,True,C,C,"The result demonstrates that under the same number of retrieved passages, we are able to match the performance of LLaMA in the strong retriever setting and even outperform LLaMA under the weak retriever setting. This is because our model enables larger context and hence enables extract more useful information when the retrieved passages are less relevant.","2509.01092v2.pdf, Page: 7",3.5062313079833984,2025-11-30 12:55:12
50,BM25 RAG,False,ERROR,C,No quote provided,,8.72017216682434,2025-11-30 12:55:12
1,Dense RAG,True,C,C,"It reduces attention computation complexity, which now scales quadratically with the number of chunks rather than the number of tokens in the context.","2509.01092v2.pdf, Page: 1",2.7601847648620605,2025-11-30 13:02:09
2,Dense RAG,False,A,C,Reconstruction task is essential for the model to learn the continual pre-training task.,"2509.01092v2.pdf, Page: 5",8.272212743759155,2025-11-30 13:02:09
3,Dense RAG,False,D,B,"The original Llama-2-7B supports only a4k context window, whereas our approach enables extrapolation via chunk embeddings, extending context and supporting broader applications.","2509.01092v2.pdf, Page: 4",31.35664987564087,2025-11-30 13:02:09
4,Dense RAG,True,D,D,"However, due to the compression, we are able to have more context information and hence achieve better performance. Surprisingly,REFRAG16 and REFRAG32 both outperform theLLaMAFT model despite having2× and4 × fewer tokens in the decoder (i.e., lower latency). The same result occurs in long context scenarios.","2509.01092v2.pdf, Page: 7",7.122441530227661,2025-11-30 13:02:09
5,Dense RAG,True,C,C,"It reduces attention computation complexity, which now scales quadratically with the number of chunks rather than the number of tokens in the context.","2509.01092v2.pdf, Page: 1",38.36832237243652,2025-11-30 13:02:09
6,Dense RAG,False,D,C,These results further highlight the effectiveness of the RL-trained policy and underscore the practicality of dynamically adjusting the compression rate without compromising performance.,"2509.01092v2.pdf, Page: 6",22.74249029159546,2025-11-30 13:02:09
7,Dense RAG,True,C,C,"Additionally, an RL policy is trained to do selective compression to further improve the performance which we will defer the discussion to section 2.","2509.01092v2.pdf, Page: 2",8.202730655670166,2025-11-30 13:02:09
8,Dense RAG,False,ERROR,B,No quote provided,,9.00749969482422,2025-11-30 13:02:09
9,Dense RAG,True,C,C,"Under equivalent latency constraints,REFRAGconsistently outperform LLaMA on both settings as the saved context can be reinvested to include additional information within the same latency budget.","2509.01092v2.pdf, Page: 7",4.267969131469727,2025-11-30 13:02:09
10,Dense RAG,True,C,C,"In contrast, a compression rate of64appears to be overly aggressive, resulting in diminished performance. These findings suggest a practical limit to the compression rate beyond which the model’s capability is significantly reduced.","2509.01092v2.pdf, Page: 6",3.1068367958068848,2025-11-30 13:02:09
11,Dense RAG,True,C,C,"These passages often exhibit low semantic similarity due to diversity or deduplication during re-ranking, leading to block-diagonal attention patterns that differ from those in standard LLM generation tasks. Based on this observation, we argue that most computations over the RAG context during decoding are unnecessary and can be eliminated with minimal impact on performance.","2509.01092v2.pdf, page 0",2.765953302383423,2025-11-30 13:02:09
12,Dense RAG,False,A,C,"attention, reducing attention complexity from quadratic to linear; however, this method does not address memory requirements.","filename: 2509.01092v2.pdf, page 9",6.621119976043701,2025-11-30 13:02:09
13,Dense RAG,True,C,C,"Theoretical analysis (section A) shows that for short context lengths, our method achieves up to k× acceleration in TTFT and throughput. For longer context length, acceleration reaches up tok2× for both metrics.","2509.01092v2.pdf, page 2",2.699132204055786,2025-11-30 13:02:09
14,Dense RAG,True,C,C,A light-weight RL policy decide few chunks to expand. These chunk embeddings along with the token embeddings of the question input are fed to the decoder. ... Reward = - Log(Perplexity) ... thereby preserving the decoder’s autoregressive property and enabling flexible placement of compression.,"2509.01092v2.pdf, Page: 2; 2509.01092v2.pdf, Page: 17; 2509.01092v2.pdf, Page: 3",4.977459192276001,2025-11-30 13:02:09
15,Dense RAG,True,C,C,"In this task, we freeze the decoder model and only train the encoder and projection layer. The reconstruction task was specifically chosen to encourage the model to rely on context memory rather than its parametric memory during training.","2509.01092v2.pdf, Page: 3",2.2958977222442627,2025-11-30 13:02:09
16,Dense RAG,True,C,C,"To continuously adjust task difficulty, we vary the data mixture over time, starting with examples dominated by easier tasks (e.g., single chunk embedding) and gradually shifting towards those dominated by more difficult tasks (i.e.,L chunk embeddings).","2509.01092v2.pdf, Page: 3",12.762569665908812,2025-11-30 13:02:09
17,Dense RAG,True,C,C,Table 13 demonstrates thatREFRAG16 with RL-based selective compression consistently outperformsREFRAG8 across different datasets and context lengths.,"2509.01092v2.pdf, Page: 5",16.719622135162354,2025-11-30 13:02:09
18,Dense RAG,False,B,C,"However, CEPE is worse than original LLaMA in TTIT since it require the additional computation of KV cache projection in the inference time.","2509.01092v2.pdf, Page: 15",31.47591471672058,2025-11-30 13:02:09
19,Dense RAG,True,C,C,"At equal latency (8 passages for REFRAG vs. 1 for LLaMA), REFRAG achieves a 1.93% average gain over 16 RAG tasks.","2509.01092v2.pdf, page 7",3.877984046936035,2025-11-30 13:02:09
20,Dense RAG,True,C,C,"However, due to the compression, we are able to have more context information and hence achieve better performance. Surprisingly, REFRAG16 and REFRAG32 both outperform the LLaMAFT model despite having 2× and 4 × fewer tokens in the decoder (i.e., lower latency).","2509.01092v2.pdf, Page: 7",11.676202774047852,2025-11-30 13:02:09
21,Dense RAG,True,C,C,"It reduces attention computation complexity, which now scales quadratically with the number of chunks rather than the number of tokens in the context.","2509.01092v2.pdf, Page: 1",3.9943692684173584,2025-11-30 13:02:09
22,Dense RAG,True,C,C,"For longer context length, acceleration reaches up tok2× for both metrics.","2509.01092v2.pdf, Page: 2",2.121915817260742,2025-11-30 13:02:09
23,Dense RAG,True,C,C,compressing chunks in the original token space using the RL policy.,"2509.01092v2.pdf, Page: 4",16.62301731109619,2025-11-30 13:02:09
24,Dense RAG,True,C,C,"The main objectives are to align the encoder and projection layer so that: 1) encoder can compressk tokens with minimal information loss, and 2) projection layer can effectively map the encoder’s chunk embeddings into the decoder’s token space, allowing the decoder to interpret and accurately reconstruct the original information.","2509.01092v2.pdf, Page: 3",3.377534866333008,2025-11-30 13:02:09
25,Dense RAG,True,C,C,"RL-trained chunk expansion policy
Reward = - Log(Perplexity)","2509.01092v2.pdf, Page: 17",3.072605609893799,2025-11-30 13:02:09
26,Dense RAG,True,C,C,"Empirically, as shown in figure 2, with a context length of16384(mid-to-long context),REFRAG with k = 16achieves16 .53× TTFT acceleration with cache and8.59× without cache1, both surpassing CEPE (2.01× and1 .04×, respectively), while achieving 9.3% performance (measured by log-perplexity) compared to CEPE (table 1).","2509.01092v2.pdf, Page: 2",3.9944236278533936,2025-11-30 13:02:09
27,Dense RAG,True,C,C,"At equal latency (8 passages forREFRAGvs. 1 for LLaMA),REFRAGattains a1.22% average improvement across 16 RAG tasks.","2509.01092v2.pdf, Page: 7",3.074467182159424,2025-11-30 13:02:09
28,Dense RAG,True,C,C,REFRAG8 and REFRAG16 maintain superior performance at longer contexts.,"2509.01092v2.pdf, Page: 4",19.968950033187863,2025-11-30 13:02:09
29,Dense RAG,True,C,C,"In contrast, a compression rate of64appears to be overly aggressive, resulting in diminished performance. These findings suggest a practical limit to the compression rate beyond which the model’s capability is significantly reduced.","2509.01092v2.pdf, Page: 6",2.162599563598633,2025-11-30 13:02:09
30,Dense RAG,True,C,C,"REFRAG leverages pre-computed, compressed chunk embeddings as approximate representations, feeding these embeddings directly into the decoder. This approach offers three main advantages: 1) It shortens the decoder’s input length, improving token allocation efficiency; ... REFRAG significantly reduces latency, TTFT, and memory usage during decoding, all without requiring modifications to the LLM architecture or introducing new decoder parameters.","2509.01092v2.pdf, page 1",7.672438144683838,2025-11-30 13:02:09
31,Dense RAG,True,C,C,"It reduces attention computation complexity, which now scales quadratically with the number of chunks rather than the number of tokens in the context.","2509.01092v2.pdf, Page: 1",2.149306058883667,2025-11-30 13:02:09
32,Dense RAG,True,C,C,"Theoretical analysis (section A) shows that for short context lengths, our method achieves up to k× acceleration in TTFT and throughput. For longer context length, acceleration reaches up to k²× for both metrics.","2509.01092v2.pdf, Page: 2",2.1506612300872803,2025-11-30 13:02:09
33,Dense RAG,True,C,C,"Under the context length of16384(i.e., mid-to-long context),REFRAG achieves16 .53× acceleration in TTFT with cache and8.59× without cache.","2509.01092v2.pdf, Page: 15",2.0824522972106934,2025-11-30 13:02:09
34,Dense RAG,True,C,C,Table 11Performance comparison on reconstruction task with and w/o curriculum learning. Log-Perplexity is reported as average of Arxiv and Book domain. LLaMA-Full Context1.397 0.734 0.203 0.021 LLaMA-No Context3.483 2.981 2.249 1.590,"2509.01092v2.pdf, Page: 25",24.021222591400143,2025-11-30 13:02:09
35,Dense RAG,True,C,C,"For the reconstruction task, training begins with reconstructing a single chunk: the encoder receives one chunk embeddingc1 for x1:k and and the decoder reconstructs thek tokens using the projected chunk embeddingecnk 1 . Subsequently, the model reconstructs x1:2k frome cnk 1 , ecnk 2 , and so forth. To continuously adjust task difficulty, we vary the data mixture over","2509.01092v2.pdf, page 3",3.69718074798584,2025-11-30 13:02:09
36,Dense RAG,True,C,C,dynamically adjusting the compression rate without compromising performance.,"2509.01092v2.pdf, Page: 6",20.482925415039062,2025-11-30 13:02:09
37,Dense RAG,True,C,C,"With a compression rate of16, we achieve a9.3%average log-perplexity improvement over CEPE across four datasets2.","2509.01092v2.pdf, Page: 4",1.3315551280975342,2025-11-30 13:02:09
38,Dense RAG,False,D,C,No information regarding the scale and composition of the continual pre-training corpus is provided in the given context.,,3.687147617340088,2025-11-30 13:02:09
39,Dense RAG,True,C,C,WefollowtheworkofLinetal.(2024)touseWikipediadumpsandCommonCrawl dumps to create a retrieval corpus with 400 million passages. Each passage contains less than 200 words. We use the DRAGON+ model Lin et al. (2023) as our retriever and use the implementation of Izacard et al. (2023a) to retrieve the K-nearest neighbors as the retrieved passages for each question.,2509.01092v2.pdf page 7,5.222406387329102,2025-11-30 13:02:09
40,Dense RAG,True,C,C,"At equal latency (8 passages for REFRAG vs. 1 for LLaMA),REFRAGattains a1.22% average improvement across 16 RAG tasks.","2509.01092v2.pdf, Page: 7",3.507127285003662,2025-11-30 13:02:09
41,Dense RAG,True,C,C,"Instead of using tokens from retrieved passages as input,REFRAGleverages pre-computed, compressed chunk embeddings as approximate represen-tations, feeding these embeddings directly into the decoder.","2509.01092v2.pdf, Page: 1",2.63819432258606,2025-11-30 13:02:09
42,Dense RAG,True,B,B,Reconstruction task is essential for the model to learn the continual pre-training task.,"2509.01092v2.pdf, Page: 5",11.981468915939333,2025-11-30 13:02:09
43,Dense RAG,True,C,C,REFRAGRL uses RL-based selective compression.,"2509.01092v2.pdf, Page: 4",3.4820802211761475,2025-11-30 13:02:09
44,Dense RAG,False,D,C,"Notably,REFRAG8 and REFRAG16 consistently outperform other baselines across nearly all settings, while also achieving lower latency than CEPE (figure 2).","2509.01092v2.pdf, Page: 4",5.897435903549194,2025-11-30 13:02:09
45,Dense RAG,True,C,C,"This finding is particularly surprising, asREFRAG16 achieves a compression rate of8without recomputing chunk embeddings, yet still surpasses the performance ofREFRAG8.","2509.01092v2.pdf, Page: 6",4.753623008728027,2025-11-30 13:02:09
46,Dense RAG,False,D,C,"In RAG, much of the LLM context consists of concatenated passages from retrieval, with only a small subset directly relevant to the query.","2509.01092v2.pdf, Page: 0",10.44543170928955,2025-11-30 13:02:09
